id,name,sex,profession
ripke,Paul Ripke,1,1
ek,Eliud Kipchoge,1,4
kg,Kazim Gunyar,1,1
bk,Brooke Dusek,2,2
tesch,Lina Tesch,2,1
em,Eniko Mihalik,2,2
cw,Charleen Weiß,2,2
josselin,André Josselin,1,1
mp,Marta Piekarz,2,2
wp,Willow Preston,2,2
lb,Lennart Bader,1,1
cl,Caroline Lossberg,2,2
llb,Lele Berlin,2,2
mf,Mara LaFontan,2,2
m,Masha,2,99
ub,Ufuk Bayraktar,1,3
ml,Marten Laciny,1,3
bg,Benjamin Griffey,1,3
aat,Alan Julian Asare-Tawiah,1,3
af,Amelie Flörke,2,3
mg,Max Gruber,1,3
eh,Erik Heise,1,3
fk,Felix Kummer,1,3
tk,Tore Knipping,1,3
tik,Tilman Kettner,1,3
schwarz,Chris Schwarz,1,1
