from,to,weight,relationship,time,friendship
ripke,josselin,2,12,1,3
ripke,josselin,1,2,2,3
ripke,josselin,1,2,3,3
ripke,josselin,2,2,4,3
ripke,tesch,3,12,1,3
ripke,tesch,2,2,2,3
ripke,tesch,2,2,3,3
ripke,tesch,2,2,4,3
ripke,do,4,12,1,3
ripke,do,4,12,2,3
ripke,do,4,12,3,3
ripke,do,4,12,4,3
ripke,va,2,1,3,99
ripke,ob,2,1,3,99
ripke,mr,4,12,1,3
ripke,mr,4,12,2,3
ripke,mr,4,12,3,3
ripke,mr,4,12,4,3
ripke,cr,2,1,3,99
ripke,db,2,1,3,99
ripke,emb,2,1,1,3
ripke,emb,4,2,4,3
ripke,ca,4,12,1,3
ripke,ca,4,12,2,3
ripke,ca,4,12,3,3
ripke,ca,4,12,4,3
ripke,dn,3,1,3,99
ripke,kd,2,1,1,99
ripke,nr,4,12,1,99
ripke,f1,4,1,1,99
ripke,f1,4,1,2,99
ripke,f1,4,1,3,99
ripke,f1,4,1,4,99
ripke,lp,1,2,4,99
ripke,ea,2,1,99,99
ripke,sk,2,1,99,99
ripke,jb,3,1,1,3
ripke,jb,1,1,3,3
ripke,jd,4,1,3,99
ripke,jd,4,1,4,99
ripke,mgo,2,1,3,99
ripke,jok,2,1,1,3
ripke,jok,3,1,2,3
ripke,jok,3,1,3,3
ripke,jok,4,1,4,3
ripke,lml,2,1,1,3
ripke,lml,2,1,2,3
ripke,lml,2,1,3,3
ripke,lml,2,1,4,3
ripke,lh,3,1,2,99
ripke,lh,3,1,3,99
ripke,lh,3,1,4,99
ripke,si,2,1,2,99
ripke,lm,2,1,4,99
ripke,ay,2,1,4,99
ripke,wap,4,1,4,99
ripke,tr,4,2,1,3
ripke,tr,4,2,2,3
ripke,tr,4,2,3,3
ripke,tr,4,2,4,3
ripke,pr7,2,1,1,99
ripke,pr7,3,1,4,99
ripke,lg,3,1,1,3
ripke,lg,2,1,2,3
ripke,lg,2,1,3,3
ripke,lg,2,2,4,3
ripke,cd,2,1,1,3
ripke,cd,2,1,2,3
ripke,cd,2,2,3,3
ripke,cd,2,2,4,3
ripke,sg,2,1,1,99
ripke,sg,2,1,2,99
ripke,sg,2,1,3,99
ripke,sg,2,1,4,99
ripke,dazn,2,1,3,99
tesch,ng,1,2,99,99
tesch,is,1,1,99,99
tesch,ef,1,2,99,99
tesch,dp,1,1,99,99
tesch,zb,1,1,4,99
tesch,vit,1,1,4,99
tesch,tb,1,1,4,99
tesch,mw,1,1,4,99
tesch,lr,3,2,4,99
tesch,ln,2,1,4,99
tesch,lg,1,2,4,3
tesch,hb,1,2,4,99
tesch,gl,2,1,4,99
tesch,gh,1,1,4,99
tesch,em,1,1,4,99
tesch,cp,1,1,4,99
tesch,cd,2,1,4,99
tesch,aa,1,12,4,99
tesch,xa,1,2,3,99
tesch,tm,3,1,3,3
tesch,sg,3,2,3,99
tesch,mlw,1,2,3,99
tesch,lr,3,2,3,99
tesch,kr,1,1,3,99
tesch,kd,1,1,3,99
tesch,gl,2,1,3,99
tesch,ej,1,1,3,99
tesch,cd,2,1,3,99
tesch,cc,1,2,3,99
tesch,tf,1,1,2,99
tesch,sra,1,1,2,99
tesch,sm,1,1,2,99
tesch,lo,2,1,2,99
tesch,ln,2,1,2,99
tesch,gl,2,1,2,99
tesch,es,1,1,2,99
tesch,eb,2,1,2,99
tesch,dior,1,1,2,99
tesch,cd,2,2,2,99
tesch,cd,2,1,2,99
tesch,sv,1,1,1,99
tesch,sg,3,2,1,99
tesch,mg,2,2,1,99
tesch,lo,2,1,1,99
tesch,jvk,1,1,1,99
tesch,gl,2,1,1,99
tesch,eb,2,1,1,99
tesch,ds,1,2,1,99
tesch,bc,1,1,1,99
tesch,asm,1,1,1,99
tesch,ap,1,2,1,99
josselin,klg,1,1,1,99
josselin,mc,2,1,1,3
josselin,des,3,2,1,3
josselin,cod,3,2,1,99
josselin,m,1,2,1,99
josselin,vb,2,2,1,99
josselin,sg,3,2,1,99
josselin,jm,1,2,1,99
josselin,hf,2,2,2,99
josselin,ism,2,1,1,99
josselin,sg,3,1,2,99
josselin,lc,3,1,2,99
josselin,ax,1,1,2,99
josselin,mag,1,1,2,99
josselin,lg,2,1,2,3
josselin,mo,1,1,2,99
josselin,cw,3,1,2,3
josselin,chm,1,1,2,99
josselin,ems,1,2,2,99
josselin,cl,3,2,2,3
josselin,pp,1,1,3,99
josselin,rrc,1,1,3,99
josselin,cw,3,2,3,3
josselin,vk,2,2,3,99
josselin,lg,2,2,3,3
josselin,hf,2,2,3,99
josselin,ss,1,2,3,99
josselin,ts,2,2,3,3
josselin,ts,2,2,4,3
josselin,cl,3,2,3,3
josselin,ml,3,2,3,3
josselin,fc,2,2,3,99
josselin,cw,3,2,4,3
josselin,ml,3,2,4,3
josselin,cb,1,2,4,99
josselin,mm,1,2,4,99
josselin,mk,2,2,4,99
josselin,sg,3,2,4,99
josselin,jl,1,2,4,99
josselin,cl,3,2,4,3
josselin,ju,1,1,4,99
josselin,mm,2,2,4,99
josselin,mb,1,1,4,99
josselin,n,1,1,4,99
josselin,ay,1,1,4,99
josselin,sg,3,1,4,99
josselin,vk,2,2,4,99
josselin,tohi,1,1,4,99
josselin,jb,1,1,4,99
josselin,fcb,1,1,4,99
josselin,au,1,1,4,99
josselin,car,2,2,4,99
josselin,rof,1,2,4,99
josselin,tbz,2,1,4,99
josselin,som,1,1,4,99
josselin,emg,1,2,4,99
josselin,je,1,2,4,99
josselin,ak,1,2,4,99
josselin,mvb,1,1,4,99
josselin,cart,1,1,4,99
josselin,lg,2,2,4,99
josselin,ufo,1,1,4,99
josselin,cd,3,2,1,99
schwarz,cas,2,12,4,99
schwarz,an,3,12,4,3
schwarz,an,2,12,3,3
schwarz,an,2,12,2,3
schwarz,an,2,12,1,3
schwarz,mr,2,12,4,3
schwarz,fb,1,1,4,99
schwarz,hj,2,1,4,99
schwarz,va,1,1,4,99
schwarz,pk,1,1,4,99
schwarz,hm,1,1,4,99
schwarz,amk,1,1,4,99
schwarz,ud,1,1,4,99
schwarz,ks,1,1,4,3
schwarz,ch,1,1,4,99
schwarz,amg,2,1,4,99
schwarz,pop,1,1,4,99
schwarz,ag,2,1,4,3
schwarz,kf,1,1,4,99
schwarz,ks,2,1,4,3
schwarz,ca,1,1,4,99
schwarz,cd,1,1,4,99
schwarz,st,1,1,4,99
schwarz,mi,2,1,4,99
schwarz,uw,1,1,4,99
schwarz,oa,1,1,4,99
schwarz,rb,1,1,4,99
schwarz,fe,2,2,4,99
schwarz,pbo,1,1,3,99
schwarz,nr,1,1,2,99
schwarz,te,1,1,4,99
schwarz,mac,1,1,4,99
schwarz,ig,1,1,3,99
schwarz,ripke,2,1,2,3
schwarz,am,3,1,4,99
